isbn10,credit_card_full,price,customer_number,product_number
0-14-793653-5,"American Express
Kathy Perez
341627904080734 03/23
CID: 8085
",651,241,52735
1-4611-5342-5,"JCB 15 digit
Kimberly Taylor
180060862021702 01/24
CVC: 067
",657,816,49023
0-421-66019-8,"VISA 19 digit
Lisa Freeman
4117950230249091209 12/22
CVC: 833
",548,719,94060
1-101-85473-1,"American Express
Christina Sanford
343719999392740 03/26
CID: 9513
",496,609,94634
0-14-793653-5,"American Express
Michael Tanner
373085033486671 08/25
CID: 0415
",129,891,57026
1-921054-78-6,"American Express
Christina Sanford
343719999392740 03/26
CID: 9513
",294,189,26404
1-9858-5658-1,"JCB 16 digit
Miguel Woodward
3573099768914163 09/28
CVC: 566
",885,483,60295
1-02-417170-1,"Mastercard
Jay Smith
2720154340615780 03/28
CVV: 440
",868,622,33482
0-7253-2891-6,"JCB 16 digit
Miguel Woodward
3573099768914163 09/28
CVC: 566
",586,679,91281
1-908011-41-6,"VISA 16 digit
Ruth Wong
4889388581621775 10/26
CVC: 368
",603,112,57965
0-9576016-8-9,"JCB 15 digit
Melinda Patel
213123611027395 11/24
CVC: 499
",735,353,32143
0-515-09641-5,"JCB 15 digit
Juan Mathews
213196706727913 07/21
CVC: 942
",885,880,65954
1-08-579909-3,"VISA 16 digit
Tyrone Grant
4354398991219751 04/28
CVC: 240
",868,912,15366
0-569-72553-4,"Discover
Donald Neal
6011813440122737 06/30
CVC: 418
",309,148,43437
1-08-262194-3,"Diners Club / Carte Blanche
Seth Goodwin
30341575213360 01/29
CVC: 909
",331,853,29318
1-08-262194-3,"Diners Club / Carte Blanche
Seth Goodwin
30341575213360 01/29
CVC: 909
",708,324,64508
0-85142-778-2,"Mastercard
Andrea Johnson
2542290608846885 09/30
CVV: 631
",885,367,34089
1-938764-46-3,"American Express
Shawn Chapman
370452809085769 02/23
CID: 1961
",915,340,60750
0-516-37136-3,"VISA 16 digit
Karen Thomas
4689163654626411 08/21
CVC: 215
",71,877,66025
0-8002-9722-9,"VISA 16 digit
Daniel Snyder
4652968936940924 10/21
CVC: 406
",651,678,61486
0-516-37136-3,"JCB 16 digit
Jeff Vasquez
3500558418474272 03/24
CVC: 177
",80,845,27077
1-83058-541-X,"VISA 16 digit
Benjamin Anthony
4778400032412664 08/23
CVC: 243
",429,292,36571
1-07-902383-6,"VISA 19 digit
Nicole Diaz
4779372592294929204 01/22
CVC: 969
",651,271,88241
1-171-73912-5,"JCB 15 digit
Eric Dean
180028544033577 08/24
CVC: 564
",34,944,82146
0-410-79134-2,"Discover
Dawn Wood
6011159181773159 10/25
CVC: 525
",208,863,39198
1-57731-211-2,"VISA 16 digit
Jacqueline Mann
4243724401864081 02/24
CVC: 530
",548,991,68794
1-85973-300-X,"VISA 16 digit
Erin Carter
4072202023913269 04/30
CVC: 713
",213,349,76049
1-918140-87-1,"VISA 19 digit
Nicole Diaz
4779372592294929204 01/22
CVC: 969
",357,361,77461
0-381-16869-7,"JCB 16 digit
Jeff Vasquez
3500558418474272 03/24
CVC: 177
",488,316,16804
0-569-72553-4,"VISA 19 digit
Deborah Jones
4195145697496877765 06/28
CVC: 019
",401,78,41111
1-03-196681-1,"JCB 15 digit
Eric Dean
180028544033577 08/24
CVC: 564
",884,746,70205
1-83058-541-X,"American Express
Christina Sanford
343719999392740 03/26
CID: 9513
",651,364,88034
0-9576016-8-9,"VISA 19 digit
Nicole Diaz
4779372592294929204 01/22
CVC: 969
",825,198,8113
1-08-579909-3,"JCB 16 digit
Randall Gonzalez
3568729228272953 06/23
CVC: 513
",593,758,37804
1-139-84426-1,"Discover
Brian Small
6563416098101664 11/21
CVC: 878
",641,785,70893
1-66237-111-X,"Maestro
Lori Morris
675999699365 10/25
CVV: 340
",787,161,42331
0-916025-61-6,"Mastercard
Andrea Johnson
2542290608846885 09/30
CVV: 631
",496,179,76707
0-14-793653-5,"JCB 16 digit
John Harrison
3503328012959095 07/29
CVC: 557
",712,52,63868
1-05-206778-6,"VISA 13 digit
Jessica Wallace
4561472308771 11/23
CVC: 295
",294,37,22111
0-05-128851-6,"JCB 15 digit
Yesenia Barron
213109977621798 04/24
CVC: 512
",548,90,87615
1-5030-7334-3,"JCB 15 digit
Rebecca Hoffman
213145998881839 09/25
CVC: 763
",915,542,36430
1-02-009282-3,"VISA 16 digit
Ruth Wong
4889388581621775 10/26
CVC: 368
",209,154,15448
0-8002-9722-9,"JCB 16 digit
Sarah Gardner
3593455768324116 01/31
CVC: 392
",96,302,1434
0-8002-9722-9,"VISA 16 digit
Jennifer Shelton
4898585908299214 12/21
CVC: 663
",891,826,52933
0-650-69913-0,"JCB 15 digit
Theresa Sanchez
213115958316100 12/30
CVC: 324
",322,717,75354
1-114-02465-1,"VISA 16 digit
Tyrone Grant
4354398991219751 04/28
CVC: 240
",640,34,22914
1-114-02465-1,"Discover
Donald Neal
6011813440122737 06/30
CVC: 418
",309,397,8142
0-376-09543-1,"VISA 13 digit
Christian Campos
4047808527953 06/27
CVC: 403
",401,616,62497
1-08-262194-3,"VISA 19 digit
Nicole Diaz
4779372592294929204 01/22
CVC: 969
",649,793,29101
0-7253-2891-6,"JCB 16 digit
Ashley Johnson
3548840838112060 06/25
CVC: 301
",540,208,8128
